First Name,Middle Name,Last Name
JOE MARIE,VILLANUEVA,BARINO
ROSELLER,LARA,BARINAGA
ANTONIO,GALLO,PANCHO
RODELIO,CENABRE,OMBROSA
CESAR,ALPUERTO,BARICUATRO
LEONIDO,MARASIGAN,BANTUGON
JOSE,LOMIBAO,BARAO
RICKY,ALBARRACIN,CUA
CASIMERO,,BAOBAO
JOEFFREY,BARCELONA,PANDI
ROLLIE,JABUNAN,BARANGOT
MACARIO,,CRUZ
BONIFACIO,PALMA,BARBERO
FILGER,,MONTEALTO
LENI,TAN,CUA
MASOOD,BANGCOLA,OMAR
ELPIDIO,,LABASTIDA
COMILAO,DAING,OMAR
RITCHE,DOLORITO,CUADRA
LUZVIMINDA,BAES,CUADRA
ROMEO,NAGANGA,BANTUG
NILO,TINAM-ISAN,LABASTILLA
GLORIA,CAPARIDA,BANTO
MUHALIDEN,MONTAWAL,BAO
MARCOS,LAH-O,BANTIYAN
ROLANDO,CABUTE,LABAUPA
TESSIE,GUMANAB,PANED
ARTURO,CORDUIZ,CUADRA
GERARDO,,CUADRASAL
SANTANINA,URING,BANTILAN
JOEL,JUBAY,BANTILAN
INOCENTES,FERNANDEZ,BANTIGUE
DERWIN,TESIO,CUAJAO
ROLANDO,LEGASPI,BANTIGUE
VICENTE,ENCENDENCIA,BANTUGAN
DANILO,APDUHAN,BANTUGAN
SUKARNO,RAJAHBUAYAN,BANTUGAN
VICTORIA,,MINANO
ROMMEL,TAMAYO,LABASAN
ALEX,MAYER,PANED
MARIO,TUPA,BARTE
GLENN,HONORIDEZ,BARTOLINI
NICANOR,SARMIENTO,BARTOLOME
AJERICO,SEGISMUNDO,BARRACOSO
ROLANDO,CRUZ,CRUZ
ROMAN,LEON,CRUZ
MODESTO,DOMINGO,BARRACA
THRISTAN,TRINIDAD,CRUZ
FERNANDITO,TAGLE,BARONIA
MAPALAD,,BARONIA
MARINO,EBUENGA,BARRANDA
EVELINDA,JAVELLANA,MINDANAO
ALLAN PAUL,CARLOS,CRUZ
RENATO,TIONGCO,BARREDA
MA. RIZA,AWAYAN,BARRIGA
LUCILO,,HAPAL
IRENO,SISCAR,PANALIGAN
ROBIN,PAREDES,CRUZ
BEDIS,,KUDARAT
RODRIGO,,MONTEAGUDO
FELIX GREGORIO,GONZAGA,BARRIENTOS
FERDINAND,TIBURCIO,CRUZ
LUIS,ESPINA,KUIZON
EMMANUEL,CASTILLO,CRUZ
NESTOR,,KUIZON
